Manufacture,Reference,Model,Case serial number,Description,City,State,Country,Stolen date,Police reference,Interpol Reference,Origin
Aerowatch,Unknown,Unknown,25713045,Pocket watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aldo,Unknown,Unknown,44032071,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aldo,Unknown,Unknown,74032070,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Alpina,592,Unknown,65345943,Ferrari logo 21/50,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
American Time,Unknown,Unknown,4219019,"Shane kofford, jatc, journeyman engraved on the back",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Lds,109049,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,478156,Ladies white big face watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,765764,Women's watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,2141190,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,4265779,Ladies watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,4473373,Gold silver watch mother of pearl face,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,5278455,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,10920475,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,10941621,Swarovski rose gold ceramic bracelet watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,35129677,"Watch, black dial",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,35926801,Ladies classic 2 tone watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,602468294,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,702509720,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Unknown,Unknown,862521036,Watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Anne Klein,Y121E,Unknown,108243,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Apple,Unknown,Apple watch series 5,55445813,Sport black watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Apple,Unknown,Unknown,57142108,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Mariner,Unknown,Unknown,3426715,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Mariner,Unknown,Unknown,3449188,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Mariner,Unknown,Unknown,3453297,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Mariner,Unknown,Unknown,3453536,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Mariner,Unknown,Unknown,3469180,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Master,AM2006,Unknown,5936281,Men’s 5 carat diamond gold tone watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqua Master,AM2007,Unknown,2698231,Men’s 7 carat diamond gold tone watch,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aquaforce,Unknown,Unknown,8232937,Watch red face,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqualite,Unknown,Unknown,23275207,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
Aqualite,Unknown,Unknown,83275832,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AH
